Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_MapLink_DeparturePoint,"DEPARTURE POINT","DEPARTURE POINT","Point odjezdu","Abflugspunkt","Точка вылета","Punkt wyjścia","Indulási pont","Punto di partenza","Punto de salida","Point de départ","出發點","出発点","Ponto de partida","出发点"
STR_MapLink_TransferringIn,"Transferring In","Transferring In","Přenos do","Übergang in","Передача в","Przeniesienie w","Áthelyezés","Trasferimento in","Transferir","Transférer dans","轉移","転送","Transferindo","转移"
STR_MapLink_Travel,"TRAVEL","TRAVEL","CESTOVAT","REISEN","ПУТЕШЕСТВОВАТЬ","PODRÓŻ","UTAZÁSI","VIAGGIO","VIAJAR","VOYAGE","旅行","旅行","VIAGEM","旅行"
STR_MapLink_Querying,"Querying","Querying","Dotaz","Abfrage","Запросы","Zapytanie","Lekérdezés","Interrogazione","Consulta","Requête","查詢","クエリ","Consulta","查询"
STR_MapLink_TravelProtect,"Under Travel Protection","Under Travel Protection","Pod ochranou cestování","Unter Reiseschutz","Под защитой от путешествий","Pod ochroną podróży","Utazási védelem alatt","Sotto la protezione dei viaggi","Bajo protección de viajes","Sous la protection des voyages","在旅行保護下","旅行保護下","Sob proteção de viagem","在旅行保护下"
STR_MapLink_OpenTerminal,"Open Departure Terminal","Open Departure Terminal","Otevřená nabídka odjezdu","Öffnen Sie das Abflugmenü","Открытое меню отъезда","Otwarte menu wyjazdu","Nyissa meg az indulási menüt","Menu di partenza aperta","Menú de salida abierto","Ouvrir le menu de départ","開放式菜單","オープン出発メニュー","Menu de partida aberta","开放式菜单"
STR_MapLink_Online,"Online","Online","Online","Online","Онлайн","Online","Online","Online","En línea","En ligne","在線的","オンライン","On-line","在线的"
STR_MapLink_Offline,"Offline","Offline","Offline","Offline","В автономном режиме","Offline","Offline","Offline","Desconectado","Hors ligne","離線","オフライン","Offline","离线"
STR_MapLink_Redirect,"Redirecting to the correct server","Redirecting to the correct server","Přesměrování na správný server","Umleiten auf den richtigen Server","Перенаправление на правильный сервер","Przekierowanie na prawidłowy serwer","Átirányítás a megfelelő szerverre","Reindirizzamento al server corretto","Redirigir al servidor correcto","Rediriger vers le serveur correct","重定向到正確的服務器","正しいサーバーにリダイレクトします","Redirecionando para o servidor correto","重定向到正确的服务器"
STR_MapLink_Error,"Error On Connect: This server isn't set up correctly sending you back to your orginal server","Error On Connect: This server isn't set up correctly sending you back to your orginal server","Chyba při připojení: Tento server není nastaven správně a odesílá zpět na váš orginální server","Fehler bei Connect: Dieser Server wird nicht korrekt eingerichtet und sendet Sie an Ihren Orginalserver zurück","Ошибка на подключении: этот сервер не настроен правильно, отправляя вас обратно на ваш оррогинальный сервер","Błąd na Connect: Ten serwer nie jest skonfigurowany poprawnie, wysyła cię z powrotem na serwer oryginalny","Hiba a Connect -en: Ez a szerver nincs beállítva helyesen, hogy visszaküldje az ültetvénykiszolgálóra","Errore su Connect: questo server non viene impostato correttamente inviandoti al server originale","Error en Connect: este servidor no está configurado correctamente que lo envíe de regreso a su servidor Orginal","Erreur sur la connexion: ce serveur n'est pas configuré correctement vous renvoyant à votre serveur d'origine","連接上的錯誤：該服務器未正確設置，將您發送回原始服務器","接続のエラー：このサーバーは正しくセットアップされていないので、Orginal Serverに戻します","Erro no Connect: Este servidor não está configurado corretamente enviando você de volta ao seu servidor orginal","连接上的错误：该服务器未正确设置，将您发送回原始服务器"
STR_MapLink_Cooldown,"Next Transfer Allowed In","Next Transfer Allowed In","Další převod povolen v","Nächste Übertragung erlaubt ein","Следующая передача разрешена в","Następny transfer dozwolony","A következő átutalás megengedett","Il prossimo trasferimento consentito in","Siguiente transferencia permitida en","Transfert suivant autorisé dans","下一個轉移允許","次の転送が許可されます","Próxima transferência permitida em","下一个转移允许"
